Material: Volume;Material: Name
3,53 m³;Precast sandwich_wall_Type1 450_RDK
3,04 m³;Precast sandwich_wall_Type 3 200/300_RDK 2
1,72 m³;Precast sandwich_wall_Type 3 200/300_RDK 2
1,64 m³;Precast sandwich_wall_Type 3 200/300_RDK 2
1,72 m³;Precast sandwich_wall_Type 3 200/300_RDK 2
1,27 m³;Precast sandwich_wall_Type 3 200/300_RDK 2
2,00 m³;Precast sandwich_wall_Type 3 300/200_RDK
1,96 m³;Precast sandwich_wall_Type 3 300/200_RDK
2,00 m³;Precast sandwich_wall_Type 3 300/200_RDK
5,98 m³;WAL_Precast-Exterior-120_RDK
1,72 m³;Precast sandwich_wall_Type 3 200/300_RDK 2
2,31 m³;Precast sandwich_wall_Type 3 300/200_RDK
2,11 m³;Precast sandwich_wall_Type 3 300/200_RDK
1,43 m³;Precast sandwich_wall_Type 3 300/200_RDK
4,77 m³;WAL_Precast-Interior-200_RDK
4,38 m³;WAL_Precast-Interior-200_RDK
3,79 m³;WAL_Precast-Interior-200_RDK
4,21 m³;WAL_Precast-Interior-200_RDK
5,53 m³;WAL_Precast-Interior-200_RDK
2,77 m³;WAL_Precast-Interior-200_RDK
5,38 m³;WAL_Precast-Interior-200_RDK
2,25 m³;WAL_Precast-Interior-200_RDK
1,36 m³;WAL_Precast-Interior-200_RDK
2,61 m³;WAL_Precast-Interior-200_RDK
8,11 m³;Precast sandwich_wall_Type1 450_RDK
7,55 m³;WAL_Precast-Interior-400_RDK
8,98 m³;WAL_Precast-Interior-400_RDK
4,34 m³;WAL_Precast-Interior-400_RDK
9,18 m³;WAL_Precast-Interior-400_RDK
3,41 m³;WAL_Precast-Interior-250_RDK
5,55 m³;WAL_Precast-Interior-250_RDK
4,82 m³;WAL_Precast-Interior-400_RDK
5,71 m³;WAL_Precast-Interior-300_RDK
1,48 m³;WAL_Precast-Interior-300_RDK
17,54 m³;Precast sandwich_wall_Type1 450_RDK
3,53 m³;Precast sandwich_wall_Type1 450_RDK
3,04 m³;Precast sandwich_wall_Type 3 200/300_RDK 2
1,72 m³;Precast sandwich_wall_Type 3 200/300_RDK 2
1,64 m³;Precast sandwich_wall_Type 3 200/300_RDK 2
1,72 m³;Precast sandwich_wall_Type 3 200/300_RDK 2
1,27 m³;Precast sandwich_wall_Type 3 200/300_RDK 2
2,00 m³;Precast sandwich_wall_Type 3 300/200_RDK
1,96 m³;Precast sandwich_wall_Type 3 300/200_RDK
2,00 m³;Precast sandwich_wall_Type 3 300/200_RDK
5,69 m³;WAL_Precast-Exterior-120_RDK
1,72 m³;Precast sandwich_wall_Type 3 200/300_RDK 2
1,46 m³;Precast sandwich_wall_Type 3 300/200_RDK
0,78 m³;Precast sandwich_wall_Type 3 300/200_RDK
10,29 m³;WAL_Precast-Exterior-120_RDK
1,61 m³;Precast sandwich_wall_Type 2 245/225_RDK
1,61 m³;Precast sandwich_wall_Type 2 245/225_RDK
1,61 m³;Precast sandwich_wall_Type 2 245/225_RDK
1,61 m³;Precast sandwich_wall_Type 2 245/225_RDK
0,75 m³;Precast sandwich_wall_Type 2 245/225_RDK
1,61 m³;Precast sandwich_wall_Type 2 245/225_RDK
1,61 m³;Precast sandwich_wall_Type 2 245/225_RDK
1,88 m³;Precast sandwich_wall_Type 2 195/275_RDK
1,35 m³;Precast sandwich_wall_Type 2 195/275_RDK
1,35 m³;Precast sandwich_wall_Type 2 195/275_RDK
1,88 m³;Precast sandwich_wall_Type 2 195/275_RDK
4,36 m³;Precast sandwich_wall_Type 2 195/275_RDK
1,88 m³;Precast sandwich_wall_Type 2 195/275_RDK
8,53 m³;Precast sandwich_wall_Type1 450_RDK
7,59 m³;WAL_Precast-Interior-400_RDK
8,98 m³;WAL_Precast-Interior-400_RDK
4,34 m³;WAL_Precast-Interior-400_RDK
9,18 m³;WAL_Precast-Interior-400_RDK
8,77 m³;WAL_Precast-Interior-400_RDK
3,50 m³;WAL_Precast-Interior-250_RDK
5,55 m³;WAL_Precast-Interior-250_RDK
4,82 m³;WAL_Precast-Interior-400_RDK
5,73 m³;WAL_Precast-Interior-300_RDK
1,48 m³;WAL_Precast-Interior-300_RDK
17,59 m³;Precast sandwich_wall_Type1 450_RDK
3,53 m³;Precast sandwich_wall_Type1 450_RDK
1,88 m³;Precast sandwich_wall_Type 2 195/275_RDK
5,98 m³;WAL_Precast-Exterior-120_RDK
1,61 m³;Precast sandwich_wall_Type 2 245/225_RDK
1,61 m³;Precast sandwich_wall_Type 2 245/225_RDK
1,61 m³;Precast sandwich_wall_Type 2 245/225_RDK
1,61 m³;Precast sandwich_wall_Type 2 245/225_RDK
1,88 m³;Precast sandwich_wall_Type 2 195/275_RDK
1,94 m³;Precast sandwich_wall_Type 2 195/275_RDK
1,89 m³;Precast sandwich_wall_Type 2 195/275_RDK
4,36 m³;Precast sandwich_wall_Type 2 195/275_RDK
1,48 m³;Precast sandwich_wall_Type 2 245/225_RDK
1,88 m³;Precast sandwich_wall_Type 2 195/275_RDK
2,86 m³;Precast sandwich_wall_Type 2 245/225_RDK
1,62 m³;Precast sandwich_wall_Type 2 245/225_RDK
1,50 m³;Precast sandwich_wall_Type 2 245/225_RDK
1,62 m³;Precast sandwich_wall_Type 2 245/225_RDK
1,19 m³;Precast sandwich_wall_Type 2 245/225_RDK
1,62 m³;Precast sandwich_wall_Type 2 245/225_RDK
1,98 m³;Precast sandwich_wall_Type 2 195/275_RDK
1,84 m³;Precast sandwich_wall_Type 2 195/275_RDK
1,34 m³;Precast sandwich_wall_Type 2 195/275_RDK
1,88 m³;Precast sandwich_wall_Type 2 195/275_RDK
7,59 m³;WAL_Precast-Interior-400_RDK
8,98 m³;WAL_Precast-Interior-400_RDK
8,75 m³;WAL_Precast-Interior-400_RDK
4,34 m³;WAL_Precast-Interior-400_RDK
9,18 m³;WAL_Precast-Interior-400_RDK
8,77 m³;WAL_Precast-Interior-400_RDK
3,51 m³;WAL_Precast-Interior-250_RDK
5,55 m³;WAL_Precast-Interior-250_RDK
4,81 m³;WAL_Precast-Interior-400_RDK
5,71 m³;WAL_Precast-Interior-300_RDK
1,48 m³;WAL_Precast-Interior-300_RDK
16,36 m³;Precast sandwich_wall_Type1 450_RDK
1,88 m³;Precast sandwich_wall_Type 2 195/275_RDK
5,98 m³;WAL_Precast-Exterior-120_RDK
9,04 m³;WAL_Precast-Exterior-120_RDK
1,60 m³;Precast sandwich_wall_Type 2 245/225_RDK
1,61 m³;Precast sandwich_wall_Type 2 245/225_RDK
1,61 m³;Precast sandwich_wall_Type 2 245/225_RDK
1,61 m³;Precast sandwich_wall_Type 2 245/225_RDK
1,54 m³;Precast sandwich_wall_Type 2 245/225_RDK
1,61 m³;Precast sandwich_wall_Type 2 245/225_RDK
1,61 m³;Precast sandwich_wall_Type 2 245/225_RDK
1,88 m³;Precast sandwich_wall_Type 2 195/275_RDK
1,94 m³;Precast sandwich_wall_Type 2 195/275_RDK
1,94 m³;Precast sandwich_wall_Type 2 195/275_RDK
1,88 m³;Precast sandwich_wall_Type 2 195/275_RDK
2,61 m³;Precast sandwich_wall_Type 2 195/275_RDK
1,88 m³;Precast sandwich_wall_Type 2 195/275_RDK
2,86 m³;Precast sandwich_wall_Type 2 245/225_RDK
1,62 m³;Precast sandwich_wall_Type 2 245/225_RDK
1,50 m³;Precast sandwich_wall_Type 2 245/225_RDK
1,62 m³;Precast sandwich_wall_Type 2 245/225_RDK
1,19 m³;Precast sandwich_wall_Type 2 245/225_RDK
1,62 m³;Precast sandwich_wall_Type 2 245/225_RDK
1,84 m³;Precast sandwich_wall_Type 2 195/275_RDK
1,34 m³;Precast sandwich_wall_Type 2 195/275_RDK
1,88 m³;Precast sandwich_wall_Type 2 195/275_RDK
